date,rate,maturity_level,granularity
2009-06-01,1.626,12m,monthly
2009-07-01,1.497,12m,monthly
2009-08-03,1.346,12m,monthly
2009-09-01,1.302,12m,monthly
2009-10-01,1.237,12m,monthly
2009-11-02,1.237,12m,monthly
2009-12-01,1.236,12m,monthly
2010-01-04,1.251,12m,monthly
2010-02-01,1.226,12m,monthly
2010-03-01,1.216,12m,monthly
2010-04-01,1.214,12m,monthly
2010-05-03,1.239,12m,monthly
2010-06-01,1.262,12m,monthly
2010-07-01,1.320,12m,monthly
2010-08-02,1.418,12m,monthly
2010-09-01,1.411,12m,monthly
2010-10-01,1.464,12m,monthly
2010-11-01,1.540,12m,monthly
2010-12-01,1.528,12m,monthly
2011-01-03,1.504,12m,monthly
2011-02-01,1.660,12m,monthly
2011-03-01,1.773,12m,monthly
2011-04-01,2.013,12m,monthly
2011-05-02,2.139,12m,monthly
2011-06-01,2.137,12m,monthly
2011-07-01,2.172,12m,monthly
2011-08-01,2.177,12m,monthly
2011-09-01,2.089,12m,monthly
2011-10-03,2.085,12m,monthly
2011-11-01,2.111,12m,monthly
2011-12-01,2.030,12m,monthly
2012-01-02,1.937,12m,monthly
2012-02-01,1.745,12m,monthly
2012-03-01,1.599,12m,monthly
2012-04-02,1.410,12m,monthly
2012-05-02,1.303,12m,monthly
2012-06-01,1.228,12m,monthly
2012-07-02,1.213,12m,monthly
2012-08-01,0.937,12m,monthly
2012-09-03,0.798,12m,monthly
2012-10-01,0.685,12m,monthly
2012-11-01,0.615,12m,monthly
2012-12-03,0.574,12m,monthly
2013-01-02,0.543,12m,monthly
2013-02-01,0.622,12m,monthly
2013-03-01,0.549,12m,monthly
2013-04-02,0.544,12m,monthly
2013-05-01,0.510,12m,monthly
2013-06-03,0.478,12m,monthly
2013-07-01,0.534,12m,monthly
2013-08-01,0.531,12m,monthly
2013-09-02,0.550,12m,monthly
2013-10-01,0.537,12m,monthly
2013-11-01,0.533,12m,monthly
2013-12-02,0.502,12m,monthly
2014-01-02,0.555,12m,monthly
2014-02-03,0.549,12m,monthly
2014-03-03,0.554,12m,monthly
2014-04-01,0.591,12m,monthly
2014-05-02,0.612,12m,monthly
2014-06-02,0.569,12m,monthly
2014-07-01,0.488,12m,monthly
2014-08-01,0.489,12m,monthly
2014-09-01,0.428,12m,monthly
2014-10-01,0.338,12m,monthly
2014-11-03,0.339,12m,monthly
2014-12-01,0.330,12m,monthly
2015-01-02,0.323,12m,monthly
2015-02-02,0.271,12m,monthly
2015-03-02,0.230,12m,monthly
2015-04-01,0.196,12m,monthly
2015-05-04,0.170,12m,monthly
2015-06-01,0.161,12m,monthly
2015-07-01,0.164,12m,monthly
2015-08-03,0.166,12m,monthly
2015-09-01,0.161,12m,monthly
2015-10-01,0.140,12m,monthly
2015-11-02,0.109,12m,monthly
2015-12-01,0.045,12m,monthly
2016-01-04,0.058,12m,monthly
2016-02-01,0.010,12m,monthly
2016-03-01,-0.026,12m,monthly
2016-04-01,-0.002,12m,monthly
2016-05-02,-0.012,12m,monthly
2016-06-01,-0.018,12m,monthly
2016-07-01,-0.052,12m,monthly
2016-08-01,-0.048,12m,monthly
2016-09-01,-0.051,12m,monthly
2016-10-03,-0.064,12m,monthly
2016-11-01,-0.069,12m,monthly
2016-12-01,-0.079,12m,monthly
2017-01-02,-0.083,12m,monthly
2017-02-01,-0.103,12m,monthly
2017-03-01,-0.114,12m,monthly
2017-04-03,-0.111,12m,monthly
